date,open,high,low,close,adj_close,volume
19-08-2004,2.490664005,2.591784954,2.390042067,2.49913311,2.484365463,897427216
20-08-2004,2.515820026,2.716816902,2.503118038,2.697638988,2.681698322,458857488
23-08-2004,2.758410931,2.826406002,2.716069937,2.724786997,2.708686113,366857939
24-08-2004,2.770615101,2.77958107,2.579581022,2.611959934,2.596525908,306396159
25-08-2004,2.614201069,2.689918041,2.58730197,2.640104055,2.624503851,184645512
26-08-2004,2.613951921,2.688672066,2.606729031,2.687675953,2.671794653,142572401
27-08-2004,2.692408085,2.705359936,2.632383108,2.643840075,2.628217459,124826132
30-08-2004,2.622170925,2.627402067,2.5407269,2.5407269,2.525713682,104429967
31-08-2004,2.547950029,2.583067894,2.544462919,2.549693108,2.534626961,98825037
01-09-2004,2.557912111,2.564636946,2.482445002,2.496891022,2.482136965,183633734
02-09-2004,2.470489979,2.549693108,2.464262962,2.528273106,2.513333797,303810504
03-09-2004,2.514326096,2.534002066,2.473727942,2.490912914,2.476193905,103538639
07-09-2004,2.515820026,2.540477991,2.480951071,2.530016899,2.515066624,117506800
08-09-2004,2.509094954,2.566132069,2.503118038,2.547950029,2.532893896,100186120
09-09-2004,2.553678036,2.55816102,2.515571117,2.548198938,2.533141613,81620792
10-09-2004,2.530514956,2.654052019,2.523042917,2.623416901,2.607915163,174804764
13-09-2004,2.655795097,2.700129032,2.651561022,2.677464008,2.66164279,157628624
14-09-2004,2.676218987,2.789544106,2.659780025,2.776842117,2.760433674,217608605
15-09-2004,2.753679037,2.845086098,2.744712114,2.789544106,2.77306056,215279909
16-09-2004,2.798012018,2.88418889,2.780827045,2.838609934,2.82183671,186207345
17-09-2004,2.849817991,2.926281929,2.82814908,2.926281929,2.908990622,190350817
20-09-2004,2.912832022,3.0286479,2.908349037,2.972856998,2.955290318,213585582
21-09-2004,2.984065056,2.999258041,2.926779985,2.934998989,2.917656183,145262446
22-09-2004,2.924040079,2.980577946,2.909344912,2.948447943,2.931025505,152344894
23-09-2004,2.959906101,3.054301977,2.9145751,3.009221077,2.991439581,171524515
24-09-2004,3.012208939,3.090914011,2.982820034,2.984563112,2.96692729,183336625
27-09-2004,2.977838039,3.010715008,2.934003115,2.945460081,2.928055286,141994242
28-09-2004,3.0211761,3.173105955,2.994028091,3.159657001,3.140986681,340190355
29-09-2004,3.155672073,3.362895012,3.14396596,3.264763117,3.245471478,613229953
30-09-2004,3.23537302,3.295149088,3.212956905,3.227900982,3.208827257,276468402
01-10-2004,3.257788897,3.343467951,3.210465908,3.30212307,3.282610655,303934969
04-10-2004,3.368623972,3.408972025,3.338237047,3.363890886,3.344013691,261693228
05-10-2004,3.353929043,3.450316906,3.293654919,3.446331978,3.425967693,300887589
06-10-2004,3.425909042,3.448324919,3.387304068,3.414202929,3.394028425,268900140
07-10-2004,3.410218,3.483941078,3.40100193,3.458287001,3.437851906,283643194
08-10-2004,3.455049992,3.478960037,3.412708044,3.430392027,3.410121679,222442656
11-10-2004,3.412209988,3.458537102,3.333754063,3.368872881,3.348965883,210437827
12-10-2004,3.348448992,3.427402973,3.322546005,3.422173023,3.401951551,234419380
13-10-2004,3.569619894,3.575349092,3.488923073,3.509346008,3.488609314,397203256
14-10-2004,3.512085915,3.546207905,3.451065063,3.536742926,3.515844345,209835578
15-10-2004,3.609719992,3.623917103,3.535497904,3.589296103,3.568086863,265150137
18-10-2004,3.566631079,3.71607089,3.517066956,3.715075016,3.693122864,282061287
19-10-2004,3.748450041,3.795773029,3.669994116,3.684689045,3.662915945,363918964
20-10-2004,3.686929941,3.71084094,3.476967096,3.499134064,3.478457689,456613107
21-10-2004,3.596518993,3.739233971,3.5272789,3.720554113,3.698569298,585767401
22-10-2004,4.247579098,4.487430096,4.086681843,4.294652939,4.269275665,1481207196
25-10-2004,4.393531799,4.842598915,4.2976408,4.667504787,4.639924526,1315480331
26-10-2004,4.641104221,4.798016071,4.483195782,4.528028011,4.501271725,895628499
27-10-2004,4.550941944,4.720306873,4.527280807,4.631888866,4.604518414,536262538
28-10-2004,4.649571896,4.841601849,4.622673035,4.814454079,4.786004543,596097978
29-10-2004,4.953681946,4.980082989,4.747206211,4.748202801,4.720145702,849672890
01-11-2004,4.820681095,4.923295975,4.763894081,4.88244915,4.853598595,490828877
02-11-2004,4.950942993,4.962648869,4.815451145,4.853558064,4.824878216,455553149
03-11-2004,4.935998917,5.021179199,4.75094223,4.773856163,4.74564743,557630330
04-11-2004,4.693408012,4.74222517,4.566633224,4.60025692,4.573074341,578544429
05-11-2004,4.532511234,4.540481091,4.198015213,4.217939854,4.193016052,796297573
08-11-2004,4.257293224,4.369622231,4.219184875,4.2976408,4.272245884,449349985
09-11-2004,4.336246967,4.363644123,4.116321087,4.201751232,4.176922798,444226854
10-11-2004,4.250816822,4.296894073,4.14272213,4.180829048,4.156124592,427355853
11-11-2004,4.212460995,4.576595783,4.173605919,4.558413982,4.531478405,601666773
12-11-2004,4.613458157,4.727281094,4.418438911,4.533009052,4.506223202,672354740
15-11-2004,4.494403839,4.690419197,4.452063084,4.604491234,4.577283382,477844390
16-11-2004,4.420928955,4.469995022,4.254802227,4.297391891,4.271998405,839832142
17-11-2004,4.209721088,4.420928955,4.209222794,4.296395779,4.271008015,728034662
18-11-2004,4.241352081,4.344216824,4.127778053,4.172859192,4.148201942,667677273
19-11-2004,4.211712837,4.233631134,4.147453785,4.219184875,4.194253922,352086780
22-11-2004,4.096395969,4.221675873,4.017691135,4.112086773,4.087788105,496582362
23-11-2004,4.183568954,4.254802227,4.146955967,4.172360897,4.147706509,498393124
24-11-2004,4.354178905,4.413705826,4.296645164,4.352684975,4.326964378,613531078
26-11-2004,4.3785882,4.483942986,4.366632938,4.468002796,4.441601753,260175560
29-11-2004,4.492162228,4.556670189,4.421177864,4.509347916,4.482702732,428263241
30-11-2004,4.500879765,4.557916164,4.489422798,4.532511234,4.505728722,309154460
01-12-2004,4.53176403,4.545462132,4.471988201,4.482200146,4.455714226,315743063
02-12-2004,4.480704784,4.520804882,4.447081089,4.468252182,4.441849232,251374696
03-12-2004,4.481951237,4.509596825,4.423419952,4.493158817,4.466608047,235647968
06-12-2004,4.461526871,4.500630856,4.384067059,4.390791893,4.364846706,251097661
07-12-2004,4.383568764,4.388551235,4.247828007,4.269745827,4.244515419,275866153
08-12-2004,4.242846966,4.325786114,4.202497959,4.233631134,4.208614349,302802741
09-12-2004,4.240355968,4.321302891,4.196022034,4.319559097,4.294034481,307307563
10-12-2004,4.319559097,4.35567379,4.266259193,4.275225163,4.249962807,173335277
13-12-2004,4.288177013,4.313333035,4.220430851,4.245337009,4.220251083,193466452
14-12-2004,4.259036064,4.453805923,4.22416687,4.450568199,4.424270153,445198482
15-12-2004,4.433134079,4.500380993,4.400008202,4.477715969,4.451257229,460559845
16-12-2004,4.407230854,4.495399952,4.382324219,4.395275116,4.369303703,344197318
17-12-2004,4.402497768,4.495648861,4.397267818,4.485188007,4.458684444,296555412
20-12-2004,4.533009052,4.69390583,4.529770851,4.608226776,4.58099699,394854485
21-12-2004,4.640357018,4.679460049,4.567877769,4.576595783,4.549552441,221479058
22-12-2004,4.580331802,4.65380621,4.558165073,4.640108109,4.612689972,156865776
23-12-2004,4.668749809,4.697392941,4.63263607,4.679957867,4.652303696,145125936
27-12-2004,4.711091995,4.814454079,4.70984602,4.779833794,4.751590252,245079187
28-12-2004,4.784814835,4.820681095,4.757418156,4.801004887,4.77263546,166453579
29-12-2004,4.776596069,4.819933891,4.776596069,4.804491997,4.776102066,107525527
30-12-2004,4.806234837,4.937243938,4.778339863,4.921553135,4.892472267,237057231
31-12-2004,4.962151051,4.978340149,4.796022892,4.80175209,4.773377895,307889737
03-01-2005,4.91657114,5.071989059,4.868253231,5.048826218,5.018992424,636143518
04-01-2005,5.016198158,5.054305077,4.818936825,4.844342232,4.815716267,552298420
05-01-2005,4.818190098,4.904118061,4.787804127,4.819684982,4.791205406,330698912
06-01-2005,4.858788013,4.879211903,4.675475121,4.696147919,4.66839838,417041336
07-01-2005,4.748202801,4.838116169,4.701876163,4.828153133,4.799623966,387964757
10-01-2005,4.844342232,4.934006214,4.777841091,4.858290195,4.829582214,302714411
11-01-2005,4.872238159,4.924293041,4.811464787,4.820432186,4.791947842,279391317
12-01-2005,4.840107918,4.879959106,4.744716167,4.866260052,4.837505341,328338096
13-01-2005,4.866260052,4.916322231,4.833134174,4.86501503,4.836267471,275002929
14-01-2005,4.881701946,4.981577873,4.835126877,4.980582237,4.951151371,387057368
18-01-2005,5.005487919,5.106359959,4.947954178,5.078464985,5.048456192,528878966
19-01-2005,5.097145081,5.113334179,4.899385929,4.914081097,4.885044098,451995865
20-01-2005,4.794528961,4.887928963,4.782075882,4.829895973,4.801356316,361413608
21-01-2005,4.845337868,4.865762234,4.685438156,4.689423084,4.6617136,371724110
24-01-2005,4.699635029,4.715575218,4.491166115,4.50112915,4.474531174,563010421
25-01-2005,4.531515121,4.53898716,4.390791893,4.411465168,4.385397434,427966132
26-01-2005,4.465013981,4.717566967,4.462025166,4.71333313,4.685482025,494161321
